Date,MasterCard_spend_linked_costs,MasterCard_card_linked_costs,Authorizer_Costs,Partner_Bank_Bill_Charging_costs,Partner_Bank_Credit_Issuance_Costs,Customer_Mgmt_Costs,Tech_n_Comm_costs,Printing_Shipping_Data_costs,Marketing_expenses,Customer_Experience_Acq_costs
31/12/13,0,0,-95.52239,0,0,0,-2.107715,-49.53164,-66,0
31/01/14,0,0,0,0,0,0,-4.856555,-0.10985,0,0
28/02/14,0,-122.2235,0,0,0,0,-3.39915,-1.1,0,0
31/03/14,0,-12.28927,0,0,0,0,-6.23624,0,0,0
30/04/14,-0.312621853,-15.97190756,0,-0.0259,0,-5.747290839,-16.26555,-27.94927,0,0
31/05/14,-0.411326798,-34.65673781,-8.66866,-0.057,0,-5.643140321,-12.479675,-0.13215,0,0
30/06/14,-0.752681674,-28.17734411,-0.04676,-0.1235,0,-6.077476683,-6.568055,-1.03085,0,0
31/07/14,-1.164618739,-20.76681654,-19.78405,-0.2546,0,-5.887085651,-4.130365,-1.99569,0,0
31/08/14,-2.08226041,-47.20491976,-19.78405,-0.3933,-35.4,-6.313303582,-41.40131,-0.75992,-12.075,0
30/09/14,-3.030133097,-46.44431725,0,-0.6232,-10,-13.26320035,-51.00291,-12.64452,-0.3214,0
31/10/14,-4.192380092,-32.16285952,-58.04067,-0.9443,-15,-28.61601676,-29.50418,-34.88724,0,0
30/11/14,-7.501471437,-42.84919399,-41.80996,-2.052,-15,0,-22.0921,-42.44119,-6.16,-51.13208111
31/12/14,-12.57385993,-81.36678102,-39.03527,-5.4777,-15,0,-73.041975,-72.0645,-1.515,-77.61043131
31/01/15,-15.05663275,-65.26581776,-42.09478,-7.4359,-45.85916,-18.69839903,-90.27913,-112.48937,0,-93.49199514
28/02/15,-20.70189154,-108.8713987,-44.34346,-11.2115,-15.71034,-63.94609859,-76.8972,-161.22984,-6.87898,-106.576831
31/03/15,-32.70821343,-141.7139355,-46.70183,-18.7567,-17.46865,-106.4077483,-75.748135,-223.76736,-52.97099,-141.8769977
30/04/15,-44.2573553,-123.6455598,-51.35571,-26.3087,-23.43323,-159.1234104,-79.362025,-276.80674,-7.42423,-179.0138367
31/05/15,-60.61991717,-258.6083829,-55.03717,-35.2027,-21.50169,-88.77652844,-124.585265,-471.09634,-58.64847,-443.8826422
30/06/15,-106.6772892,-387.8345611,-71.59358,-53.3546,-28.35128,-257.3606852,-130.510785,-693.61616,-48.87471,-540.4574389
31/07/15,-126.4180645,-358.0810139,-91.71847,-96.0927,-30.52,-152.7857537,-170.338,-752.78608,-12.34604,-630.2412339
31/08/15,-179.6173199,-704.0490403,-122.63984,-141.139,-42.36565,-354.7822606,-261.551785,-963.95584,-313.62676,-557.5149809
30/09/15,-285.0598785,-913.9092231,-175.41178,-222.8876,-78.09403,-407.6598983,-328.51218,-1246.78636,-23.11223,-492.9840631
31/10/15,-495.2405283,-870.3280296,-222.12413,-295.5344,-76.72155,-635.7630412,-289.196605,-1204.84233,-54.10099,-376.0851793
30/11/15,-640.314286,-1078.927651,-278.14071,-374.8922,-118.9757,-650.8713055,-298.92085,-1555.99737,-53.33376,-421.6912684
31/12/15,-795.2726732,-1182.494205,-338.81053,-533.8706,-157.42243,-955.1353584,-437.808945,-1152.01489,-32.29073,-211.2318581
31/01/16,-974.7281211,-960.5173319,-452.46767,-536.1497,-180.4108,-1059.562628,-372.47666,-1113.02249,-14.13395,-254.5702419
29/02/16,-1007.238777,-1047.580441,-483.99481,-608.2723,-194.8749,-1263.475195,-366.85038,-1115.1359,-16.91632,-198.7489071
31/03/16,-743.4880649,-754.6076551,-541.77625,-710.8797,-182.81351,-1177.665038,-452.998625,-1410.49618,-59.43481,-305.3205654
30/04/16,-823.8272673,-672.6198421,-588.71116,-674.4159,-275.12234,-973.7577875,-524.660245,-1794.14217,-19.63587,-434.3380059
31/05/16,-1014.166086,-697.2414806,-655.7319,-1066.20325,-193.05698,-905.3295956,-394.737195,-2504.46645,-242.0245,-386.0964452
30/06/16,-1075.625255,-825.205233,-736.64917,-765.72654,-392.25927,-994.7372899,-559.338175,-2170.13705,-0.23043,-340.8540364
31/07/16,-1391.694148,-918.6066352,-868.32845,-1047.65425,-414.97407,-1036.216903,-700.539195,-2088.85767,-3.0211,-283.2326203
31/08/16,-1588.508127,-1043.182014,-971.19666,-892.49725,-349.00271,-1093.302129,-572.820495,-2509.93449,-64.48217,-289.1960471
30/09/16,-1715.330152,-1126.010855,-1045.55129,-1164.67144,-727.12061,-1368.611767,-835.533315,-2011.27015,-9.38825,-265.4277366
31/10/16,-2056.063574,-1056.753558,-1072.95281,-1311.79394,-465.03886,-1213.111892,-659.91351,-2064.87595,-128.45791,-239.7167212
30/11/16,-1664.255561,-915.5236845,-1145.21302,-1409.41683,-361.39871,-1423.986424,-578.30132,-2824.31107,-132.53391,-293.4275056
31/12/16,-1911.322322,-912.725403,-1177.07126,-1645.39737,-357.67766,-1164.799555,-1035.12261,-2583.83428,-238.68139,-222.7758711
31/01/17,-1737.285319,-933.4716611,-1281.66184,-1689.08166,-434,-1323.48478,-783.423365,-2556.41639,-254.82707,-249.0428349
28/02/17,-1957.866577,-1051.993333,-1270.05012,-1604.80327,-338,-1357.142385,-664.026645,-2278.86861,-241.73051,-253.6074154
31/03/17,-3053.252043,-1666.582177,-1297.71493,-2157.8994,-443,-1568.527802,-768.539165,-3780.10035,-326.42807,-287.1952314
30/04/17,-2766.860523,-1510.258477,-1257.26412,-2041.41464,-587,-1604.429283,-772.9284,-3277.09515,-305.07997,-287.2558978
31/05/17,-2904.996793,-1530.097637,-453.02108,-2375.82643,-885,-1585.996562,-900.99503,-3304.50304,-484.85366,-287.1200673
30/06/17,-2941.457582,-1383.732998,-55.25466,-2473.03164,-790,-1666.554731,-1218.393535,-3416.20298,-310.72003,-301.7038736
31/07/17,-3942.822715,-1696.905375,-72.99112,-2630.55076,-763.81262,-1719.248291,-1164.13734,-3710.05898,-736.27087,-269.6860065
31/08/17,-3689.936964,-1641.393716,124.37854,-2925.80765,-784.4316,-1774.083587,-1365.596595,-4658.61378,-1020.60343,-321.2907283
30/09/17,-3371.74179,-1342.549964,-56.47294,-3049.51435,-945.23861,-1734.33655,-1287.562875,-4768.5298,-1606.03807,-314.0924461
31/10/17,-2626.954441,-1128.080608,-84.25339,-3329.58372,-778.43226,-1926.566183,-1855.1566,-4717.84092,-2060.34995,-299.8298364
30/11/17,-3173.840259,-1056.158587,-106.15183,-3594.99885,-1106.30255,-2797.367371,-1897.314975,-5931.30408,-1782.68968,-243.5909789
