mth,lusa_band,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150,Provision_rate_150_to_180
0,"(0, 25]",0.279,0.501,0,0,0,0,0
1,"(0, 25]",0.152,0.885,0.671,0,0,0,0
2,"(0, 25]",0.094,0.603,1,0.638,0,0,0
3,"(0, 25]",0.169,0.494,1,1,0.638,0,0
4,"(0, 25]",0.118,0.596,0.982,1,1,0.638,0
5,"(0, 25]",0.103,0.511,0.911,0.945,0.991,1,0.638
6,"(0, 25]",0.069,0.49,0.73,0.918,0.984,0.995,1
7,"(0, 25]",0.144,0.343,0.9,0.966,0.947,0.984,0.995
8,"(0, 25]",0.052,0.685,0.897,1,0.846,0.947,1
9,"(0, 25]",0.084,0.332,1,1,1,0.852,0.952
10,"(0, 25]",0.091,0.434,0.566,0.994,1,1,0.962
11,"(0, 25]",0.037,0.275,0.989,0.803,1,1,1
12,"(0, 25]",0.025,0.29,0.71,1,0.803,1,1
13,"(0, 25]",0.055,0.136,1,0.966,1,0.803,1
14,"(0, 25]",0.055,0.452,0.477,0.88,1,1,0.823
15,"(0, 25]",0,0.25,0.581,0.41,1,1,1
16,"(0, 25]",0,0,0.385,0.922,0.416,1,1
17,"(0, 25]",0,0,0,0.473,1,0.433,1
18,"(0, 25]",0,0,0,0,0.473,1,0.46
19,"(0, 25]",0,0,0,0,0,0.473,1
20,"(0, 25]",0,0,0,0,0,0,1
21,"(0, 25]",0,0,0,0,0,0,0
22,"(0, 25]",0,0,0,0,0,0,0
23,"(0, 25]",0,0,0,0,0,0,0
24,"(0, 25]",0,0,0,0,0,0,0
25,"(0, 25]",0,0,0,0,0,0,0
26,"(0, 25]",0,0,0,0,0,0,0
27,"(0, 25]",0,0,0,0,0,0,0
28,"(0, 25]",0,0,0,0,0,0,0
29,"(0, 25]",0,0,0,0,0,0,0
30,"(0, 25]",0,0,0,0,0,0,0
0,"(100, 125]",0.119,0.377,0,0,0,0,0
1,"(100, 125]",0.094,0.64,1,0,0,0,0
2,"(100, 125]",0.088,0.472,0.934,0.866,0,0,0
3,"(100, 125]",0.101,0.433,0.869,0.975,0.862,0,0
4,"(100, 125]",0.057,0.499,0.822,0.987,0.963,0.862,0
5,"(100, 125]",0.072,0.272,0.999,1,0.983,0.954,1
6,"(100, 125]",0.058,0.398,0.688,0.975,0.989,0.988,0.954
7,"(100, 125]",0.048,0.296,0.752,0.814,0.911,1,0.991
8,"(100, 125]",0.076,0.292,0.763,0.883,0.866,0.98,1
9,"(100, 125]",0.038,0.37,0.682,1,0.909,0.906,1
10,"(100, 125]",0.042,0.232,0.835,0.912,1,0.944,1
11,"(100, 125]",0.056,0.247,0.601,0.926,0.918,1,0.993
12,"(100, 125]",0.025,0.352,0.459,0.813,0.934,0.924,1
13,"(100, 125]",0.023,0.169,0.682,0.599,0.821,0.938,0.971
14,"(100, 125]",0.004,0.147,0.533,0.72,0.608,0.921,0.937
15,"(100, 125]",0.008,0.033,0.314,0.674,0.773,0.681,0.931
16,"(100, 125]",0.01,0.065,0.076,0.523,0.691,0.814,0.821
17,"(100, 125]",0,0.069,0.117,0.098,0.534,0.713,0.918
18,"(100, 125]",0,0,0.18,0.135,0.094,0.684,0.986
19,"(100, 125]",0.002,0,0,0.237,0.163,0.117,0.838
20,"(100, 125]",0,0.021,0,0,0.307,0.198,0.188
21,"(100, 125]",0,0,0.181,0,0,0.353,1
22,"(100, 125]",0,0,0,0.468,0,0,0.363
23,"(100, 125]",0,0,0,0,1,0,0
24,"(100, 125]",0,0,0,0,0,1,0
25,"(100, 125]",0,0,0,0,0,0,1
26,"(100, 125]",0,0,0,0,0,0,0
27,"(100, 125]",0,0,0,0,0,0,0
28,"(100, 125]",0,0,0,0,0,0,0
29,"(100, 125]",0,0,0,0,0,0,0
0,"(125, 150]",0.116,0.665,0,0,0,0,0
1,"(125, 150]",0.117,0.605,1,0,0,0,0
2,"(125, 150]",0.081,0.592,0.933,0.998,0,0,0
3,"(125, 150]",0.076,0.417,1,0.908,0.953,0,0
4,"(125, 150]",0.061,0.381,0.861,1,0.883,0.953,0
5,"(125, 150]",0.059,0.304,0.825,0.971,1,0.886,0.953
6,"(125, 150]",0.068,0.335,0.766,0.891,0.964,1,0.894
7,"(125, 150]",0.055,0.385,0.753,0.937,0.905,1,1
8,"(125, 150]",0.033,0.32,0.819,0.91,0.937,0.937,1
9,"(125, 150]",0.046,0.212,0.678,0.932,0.867,0.997,0.973
10,"(125, 150]",0.053,0.288,0.561,0.851,0.979,0.938,1
11,"(125, 150]",0.037,0.322,0.63,1,0.863,1,0.984
12,"(125, 150]",0.028,0.236,0.67,0.806,1,0.932,1
13,"(125, 150]",0.021,0.182,0.619,0.793,0.838,1,0.946
14,"(125, 150]",0.012,0.134,0.592,0.809,0.889,0.898,1
15,"(125, 150]",0.006,0.084,0.287,0.78,0.849,0.959,0.979
16,"(125, 150]",0,0.057,0.193,0.342,0.778,0.942,0.985
17,"(125, 150]",0,0,0.215,0.276,0.411,0.786,0.952
18,"(125, 150]",0,0,0,0.242,0.311,0.678,0.929
19,"(125, 150]",0.006,0,0,0,0.299,0.384,0.897
20,"(125, 150]",0,0.041,0,0,0,0.408,0.593
21,"(125, 150]",0,0,0.167,0,0,0,0.921
22,"(125, 150]",0,0,0,0.166,0,0,0
23,"(125, 150]",0,0,0,0,0.708,0,0
24,"(125, 150]",0,0,0,0,0,1,0
25,"(125, 150]",0,0,0,0,0,0,1
26,"(125, 150]",0,0,0,0,0,0,0
27,"(125, 150]",0,0,0,0,0,0,0
28,"(125, 150]",0,0,0,0,0,0,0
29,"(125, 150]",0,0,0,0,0,0,0
30,"(125, 150]",0,0,0,0,0,0,0
0,"(150, 175]",0.099,0.464,0,0,0,0,0
1,"(150, 175]",0.071,0.534,0.81,0,0,0,0
2,"(150, 175]",0.094,0.436,0.882,0.927,0,0,0
3,"(150, 175]",0.067,0.488,0.9,0.989,0.839,0,0
4,"(150, 175]",0.078,0.353,1,0.944,0.963,0.839,0
5,"(150, 175]",0.048,0.373,0.784,0.988,0.928,0.984,0.885
6,"(150, 175]",0.044,0.249,0.784,0.854,0.962,0.952,0.994
7,"(150, 175]",0.072,0.234,0.689,0.91,0.859,0.986,1
8,"(150, 175]",0.069,0.385,0.615,0.836,0.916,0.893,1
9,"(150, 175]",0.048,0.358,0.808,0.786,0.886,0.979,0.95
10,"(150, 175]",0.044,0.269,0.769,1,0.942,0.935,1
11,"(150, 175]",0.064,0.265,0.599,0.957,1,0.96,0.945
12,"(150, 175]",0.023,0.355,0.662,0.718,0.944,1,1
13,"(150, 175]",0.014,0.164,0.706,0.732,0.736,0.955,1
14,"(150, 175]",0.003,0.112,0.422,0.762,0.798,0.809,1
15,"(150, 175]",0.008,0.021,0.303,0.554,0.781,0.832,1
16,"(150, 175]",0.007,0.071,0.065,0.355,0.564,0.891,0.926
17,"(150, 175]",0.001,0.053,0.304,0.08,0.354,0.829,0.963
18,"(150, 175]",0,0.006,0.154,0.507,0.094,0.432,1
19,"(150, 175]",0,0,0.011,0.196,0.738,0.103,0.515
20,"(150, 175]",0,0,0,0.02,0.239,0.832,0.177
21,"(150, 175]",0,0,0,0,0.027,0.366,1
22,"(150, 175]",0,0,0,0,0,0.027,0.366
23,"(150, 175]",0,0,0,0,0,0,0.118
24,"(150, 175]",0,0,0,0,0,0,0
25,"(150, 175]",0,0,0,0,0,0,0
26,"(150, 175]",0,0,0,0,0,0,0
27,"(150, 175]",0,0,0,0,0,0,0
28,"(150, 175]",0,0,0,0,0,0,0
29,"(150, 175]",0,0,0,0,0,0,0
30,"(150, 175]",0,0,0,0,0,0,0
0,"(175, 200]",0.1,0.15,0,0,0,0,0
1,"(175, 200]",0.087,0.625,0.53,0,0,0,0
2,"(175, 200]",0.071,0.478,0.98,0.551,0,0,0
3,"(175, 200]",0.071,0.447,0.99,1,0.683,0,0
4,"(175, 200]",0.049,0.426,0.816,0.958,0.987,0.683,0
5,"(175, 200]",0.047,0.352,0.888,0.885,0.917,0.997,0.683
