mth,lusa_band,current_to_30_roll_rate,30_to_60_roll_rate,60_to_90_roll_rate,90_to_120_roll_rate,120_to_150_roll_rate,150_to_180_roll_rate,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150
0,0,0.2,0.6,0.877334884,0.88139377,0.96638345,0.97964856,0.086091938,0.43045969,0.717432817,0.817741126,0.927781832,0.960055589
0,50,0.176930104,0.6,0.964802892,0.954702588,0.994440265,0.996377098,0.094948518,0.536644224,0.894407041,0.927036028,0.971020755,0.976449556
0,100,0.171170465,0.6,0.951284849,0.909286901,0.99331289,0.999564462,0.086439958,0.504993419,0.841655699,0.884756758,0.973022659,0.979573173
0,150,0.147876591,0.6,0.946243742,0.956826665,0.99416655,0.990663306,0.077535086,0.524322917,0.873871528,0.923516309,0.965186634,0.97085004
0,200,0.151979371,0.6,0.944525505,0.900317636,0.972187775,0.990440817,0.073172872,0.481465817,0.802443028,0.849572641,0.943636565,0.970632
0,250,0.148414062,0.6,0.92551388,0.955583671,0.989518205,0.983364386,0.075100408,0.506019492,0.843365821,0.911240597,0.953595823,0.963697098
0,300,0.115847551,0.570914556,0.915886173,0.936373081,0.981082272,0.994401157,0.054230239,0.46811727,0.819942783,0.89524529,0.956077559,0.974513134
0,350,0.126383766,0.575714533,0.841722056,0.936916378,0.976009047,0.984341259,0.054024857,0.427466749,0.742497757,0.882117502,0.941511454,0.964654434
0,400,0.106281856,0.6,0.871990503,0.961110932,0.983596138,0.967190314,0.049825364,0.468804046,0.781340077,0.896041958,0.932298165,0.947846508
0,450,0.101570841,0.569521241,0.861955017,0.868401149,0.985544322,0.988095735,0.04132237,0.406833004,0.714342109,0.82874639,0.954335898,0.968333821
0,500,0.098514731,0.521561243,0.866286276,0.941717631,0.964732879,0.986379839,0.039090027,0.39679372,0.760780686,0.878209325,0.932561201,0.966652243
0,550,0.080534771,0.567540366,0.854508883,0.925446086,0.985201928,0.983898846,0.034335997,0.426349974,0.751224053,0.8791296,0.949952259,0.964220869
0,600,0.079330549,0.531872112,0.895401034,0.937336223,0.962678403,0.980693951,0.032764344,0.413010423,0.77652205,0.867233811,0.925211028,0.961080072
0,650,0.073573,0.497813522,0.881569762,0.947497412,0.972470338,0.976373586,0.028466779,0.386918832,0.777236485,0.881650572,0.930504464,0.956846114
0,700,0.060843493,0.48638428,0.836844116,0.956773246,0.987037282,0.976434373,0.022379478,0.3678204,0.756234144,0.903673849,0.944501586,0.956905685
0,750,0.056844251,0.491240425,0.880483044,0.939411917,0.97307843,0.97030543,0.02137175,0.375970304,0.765348871,0.869237489,0.925299619,0.950899322
0,800,0.047063964,0.467414855,0.882303748,0.963927195,0.964236274,0.962794499,0.017021449,0.361666272,0.773758617,0.876975326,0.909794153,0.943538609
0,850,0.042625656,0.469702543,0.878668749,0.951974197,0.983744051,0.957313429,0.015456341,0.362606525,0.771991829,0.878592564,0.922916363,0.938167161
0,900,0.035120605,0.490272566,0.886000901,0.963001212,0.936091882,0.926026851,0.012480406,0.355358513,0.724818269,0.818078479,0.849509293,0.907506314
0,950,0.019853255,0.400783088,0.893353783,0.951120011,0.986191919,0.96360954,0.006296345,0.317144214,0.79131137,0.885776033,0.931297863,0.944337349
1,0,0.2,0.6,0.837870952,0.972425991,0.993333401,0.995606388,0.094759711,0.473798554,0.789664257,0.942465251,0.969189697,0.97569426
1,50,0.194992914,0.6,0.90247764,0.958867609,0.987621244,0.93241065,0.091366902,0.468565246,0.780942076,0.865331219,0.902451195,0.913762437
