,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
"(0, 50]",accs,asset,released_activated_canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.00036282,0.00069644,0.0010046,0.00128802,0.00154879,0.00178968,0.00201208,0.0022183,0.00241013,0.00258868,0.00275584,0.00291218,0.0030585,0.00319557,0.00332407,0.00344464,0.00355785,0.00366423,0.00376428,0.00385844,0.00394712,0.0040307,0.00410953,0.00418395,0.00425418,0.00432048,0.00438305,0.00444211,0.00449786,0.00455048,0.00460015,0.00464703,0.00469128,0.00473304,0.00477247,0.00480968,0.0048448,0.00487795,0.00490924,0.00493877,0.00496665,0.00499296,0.0050178,0.00504124,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337,0.00506337
"(0, 50]",accs,asset,released_activated_charged_off_first_late,0.0,0.00891783,0.08184554,0.14923498,0.21258886,0.27436431,0.33240046,0.37406746,0.35030432,0.32792929,0.30408953,0.27904717,0.25314136,0.23114064,0.20833478,0.18592149,0.1679001,0.15102609,0.13726049,0.12567305,0.11505751,0.10705006,0.09909605,0.0918067,0.08512098,0.0789839,0.07334591,0.06816231,0.06339274,0.05910006,0.05523363,0.05174819,0.04860336,0.04576304,0.04319497,0.04077101,0.03848307,0.03632353,0.03428517,0.0323612,0.0305452,0.0288311,0.0272132,0.02568608,0.02424466,0.02288413,0.02159995,0.02038783,0.01924373,0.01816384,0.01714454,0.01563013,0.01252923,0.00960235,0.00683971,0.00423211,0.00177083,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",accs,asset,released_activated_charged_off_recognized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00891783,0.08184554,0.14923498,0.21258886,0.27436431,0.33240046,0.38298529,0.43214986,0.47716427,0.51667839,0.55341148,0.58554182,0.61412593,0.64048464,0.66308577,0.68457849,0.70443757,0.72280231,0.73979898,0.75554215,0.77013582,0.78367454,0.79624427,0.80792329,0.81878288,0.82888805,0.83829813,0.84706728,0.85534434,0.86315691,0.87053107,0.87749142,0.88406117,0.89026225,0.89611535,0.90163999,0.9068546,0.91177659,0.91642237,0.92080745,0.92494645,0.92885318,0.93254068,0.93602125,0.9393065,0.9424074,0.94533428,0.94809691,0.95070452,0.95316579,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663,0.95493663
"(0, 50]",accs,asset,released_activated_open,0.0,0.89658856,0.85774701,0.79714141,0.73714814,0.67868151,0.62723672,0.57631827,0.52684555,0.48154771,0.44177281,0.40479884,0.3724461,0.34365577,0.31710523,0.29432555,0.27266566,0.25265025,0.23413919,0.21700545,0.20113378,0.18641954,0.17276761,0.16009149,0.14831243,0.13735869,0.12716483,0.11767117,0.10882318,0.10047172,0.09258891,0.08514845,0.07812553,0.07149672,0.06523989,0.05933417,0.05375987,0.04849837,0.04353213,0.03884458,0.03442009,0.03024388,0.02630202,0.02258137,0.01906951,0.01575472,0.01262595,0.00967276,0.00688528,0.00425424,0.00177083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",accs,asset,released_not_activated,1.0,0.09449361,0.06040745,0.05362361,0.050263,0.04695418,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"(0, 50]",accs,liabi,released,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(0, 50]",crli,asset,released_activated_canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.39040941,0.77820272,1.16528368,1.54785588,1.92429599,2.29460378,2.65733563,3.00099404,3.32746358,3.63766936,3.93401267,4.21669845,4.48647487,4.74404584,4.99007369,5.22518161,5.44995599,5.66494869,5.87067908,6.06763606,6.25627992,6.4370441,6.6103368,6.7765426,6.93591116,7.08868645,7.23510661,7.37540377,7.50980406,7.6385275,7.76178797,7.87979326,7.992745,8.10083876,8.20426408,8.30320451,8.39783773,8.48833555,8.57486412,8.65758392,8.73664994,8.81221177,8.8844137,8.95339488,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942,9.01928942
"(0, 50]",crli,asset,released_activated_charged_off_first_late,0.0,4.94805853,46.91183952,86.74547783,126.29181173,166.89869411,209.8760567,250.42064825,256.38953445,262.71798065,263.69320495,260.75594201,253.73940173,242.81199478,229.2238828,214.6285504,206.13998328,199.92976684,194.24719215,188.30713424,181.03470884,175.08072266,167.28889481,158.78124982,150.24233661,142.21615761,134.67022612,127.57408933,120.8992193,114.82139316,109.2860176,104.24305313,99.64666976,95.45492506,91.62946394,87.93275172,84.36238518,80.91582537,77.59042043,74.38342623,71.29202513,68.3133428,65.44446353,62.68244385,60.02432491,57.46714339,55.0079414,52.64377513,50.37172263,48.18889064,46.09242049,42.52278263,34.33255364,26.4981826,19.00552206,11.84089179,4.99107087,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 50]",crli,asset,released_activated_charged_off_recognized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94805853,46.91183952,86.74547783,126.29181173,166.89869411,209.8760567,255.36870677,303.30137396,349.46345848,389.98501668,427.65463612,463.61545843,498.18070156,532.52525677,564.09200888,596.12499996,627.58440296,657.86265057,686.48783579,713.55996561,739.17273154,763.41389477,786.36565277,808.10498718,828.7039934,848.23019173,866.74682087,884.31311407,901.18704593,917.39100478,932.94704653,947.87686148,962.20174592,975.94257801,989.11979765,1001.75338996,1013.8628719,1025.46728191,1036.58517216,1047.23460314,1057.43314046,1067.19785349,1076.54531575,1085.49160682,1094.05231555,1102.24254453,1110.07691558,1117.56957612,1124.73420639,1131.58402731,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818,1136.57509818
"(0, 50]",crli,asset,released_activated_open,0.0,501.85305003,507.01094304,523.98528353,607.20699807,661.67598304,674.93680977,669.90429414,661.77456507,650.00692358,637.72117592,622.28569163,607.45690362,572.68182403,539.67753778,511.34219574,483.37702859,456.84987868,431.67726739,407.78047243,385.08531265,363.52193113,343.02457865,323.53140035,304.9842271,287.32837259,270.51243761,254.48812156,239.21004211,224.41371131,210.08870775,196.22426256,182.80933128,169.83265864,157.28283704,145.14835909,133.41766471,122.07918331,111.12137133,100.53274571,90.30191338,80.41759737,70.86865964,61.644121,52.73317835,44.1252195,35.80983578,27.77683258,20.01623813,12.51831057,5.2735436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
