,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
"(000, 025]",accs,asset,released_activated_canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.00041517,0.00081021,0.00118669,0.00154479,0.00188524,0.00221005,0.00251966,0.0028154,0.00309869,0.00337047,0.00363213,0.00388442,0.00412802,0.00436358,0.00459147,0.00481202,0.00502555,0.00523237,0.00543276,0.005627,0.00581534,0.00599804,0.00617532,0.00634742,0.00651453,0.00667686,0.00683455,0.00698773,0.00713654,0.00728108,0.0074215,0.0075579,0.00769039,0.0078191,0.00794413,0.00806559,0.00818357,0.00829817,0.0084095,0.00851765,0.0086227,0.00872475,0.00882388,0.00892018,0.00901372,0.00910459,0.00919286,0.00927861,0.0093619,0.00944281,0.00952141,0.00959776,0.00967193,0.00974397,0.00981396,0.00988194,0.00994798,0.01001214,0.01007446,0.01013499,0.0101938,0.01025092,0.01030641,0.01036031,0.01041267,0.01046354,0.01051295,0.01056095,0.01060757,0.01065286,0.01069686,0.0107396,0.01078111,0.01082144,0.01086062,0.01089867,0.01093564,0.01097155,0.01100643,0.01104032,0.01107323,0.01110521,0.01113627,0.01116644,0.01119575,0.01122423,0.01125188,0.01127875,0.01130485,0.0113302,0.01135483,0.01137875,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101,0.01655101
"(000, 025]",accs,asset,released_activated_charged_off_first_late,0.0,0.00531075,0.04737905,0.08898056,0.12927631,0.16966198,0.20950915,0.24090971,0.23522939,0.22858915,0.219213,0.2088992,0.19650505,0.18438271,0.17072855,0.15574217,0.14329855,0.13036032,0.11872903,0.10925649,0.10097102,0.09481143,0.08955066,0.08506307,0.0813474,0.07782452,0.07448301,0.07131221,0.06830216,0.06544355,0.06272765,0.06025578,0.05800977,0.0559727,0.05412886,0.05246363,0.05096341,0.04950609,0.04809045,0.04671528,0.04537944,0.04408179,0.04282126,0.04159676,0.04040729,0.03925182,0.0381294,0.03703907,0.03597993,0.03495107,0.03395162,0.03298076,0.03203766,0.03112153,0.0302316,0.02936712,0.02852735,0.0277116,0.02691917,0.02614941,0.02540166,0.02467528,0.02396968,0.02328426,0.02261844,0.02197165,0.02134337,0.02073304,0.02014017,0.01956426,0.01900481,0.01846136,0.01793345,0.01742063,0.01692248,0.01643858,0.01596851,0.01551188,0.01506831,0.01463743,0.01421887,0.01381227,0.0134173,0.01303363,0.01266093,0.01229888,0.01194719,0.01160556,0.01127369,0.01095131,0.01063816,0.01033395,0.01003845,0.0097514,0.00947255,0.00920168,0.00893855,0.00868295,0.00843466,0.00692499,0.00545848,0.00403391,0.00265008,0.00130582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(000, 025]",accs,asset,released_activated_charged_off_recognized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00531075,0.04737905,0.08898056,0.12927631,0.16966198,0.20950915,0.24622046,0.28260844,0.31756971,0.34848931,0.37856118,0.40601421,0.43060317,0.45333698,0.47331188,0.49178786,0.5089215,0.52474324,0.53985965,0.55430801,0.56812332,0.58133851,0.59398457,0.60609064,0.61768417,0.62879101,0.63943553,0.64964067,0.65942812,0.66881829,0.67793996,0.68680078,0.69540822,0.70376954,0.71189175,0.71978171,0.72744605,0.73489123,0.7421235,0.74914897,0.75597354,0.76260297,0.76904281,0.77529851,0.78137533,0.78727837,0.79301262,0.79858289,0.80399388,0.80925014,0.81435609,0.81931604,0.82413415,0.82881449,0.83336099,0.83777749,0.84206769,0.84623521,0.85028356,0.85421615,0.85803628,0.86174717,0.86535195,0.86885365,0.87225522,0.87555951,0.87876932,0.88188734,0.88491621,0.88785846,0.89071657,0.89349296,0.89618995,0.89880983,0.90135478,0.90382697,0.90622845,0.90856127,0.91082738,0.91302869,0.91516705,0.91724427,0.91926208,0.9212222,0.92312626,0.92497588,0.92677261,0.92851796,0.9302134,0.93186036,0.93346022,0.93501433,0.93652401,0.93799051,0.93941508,0.94079891,0.94214317,0.94344899,0.94344899,0.94344899,0.94344899,0.94344899,0.94344899,0.94344899,0.94344899,0.94344899
"(000, 025]",accs,asset,released_activated_open,0.0,0.90019564,0.8922135,0.85739583,0.82046069,0.78338384,0.75007568,0.71296934,0.67620487,0.64088549,0.60962546,0.57922877,0.55146613,0.52658144,0.50356433,0.48331765,0.46458002,0.44719408,0.43112874,0.41577677,0.40110053,0.38706467,0.37363594,0.36078306,0.3484766,0.33668883,0.32539364,0.31456643,0.304184,0.29422447,0.28466718,0.27538318,0.26636467,0.25760404,0.24909393,0.24082716,0.23279679,0.22499605,0.21741838,0.21005739,0.2029069,0.19596087,0.18921347,0.18265901,0.17629198,0.17010702,0.16409893,0.15826263,0.15259323,0.14708594,0.14173614,0.13653932,0.1314911,0.12658724,0.12182361,0.11719619,0.1127011,0.10833455,0.10409286,0.09997247,0.09596989,0.09208178,0.08830484,0.08463591,0.0810719,0.07760979,0.07424669,0.07097976,0.06780625,0.06472348,0.06172887,0.05881989,0.05599409,0.0532491,0.0505826,0.04799236,0.04547618,0.04303195,0.04065762,0.03835118,0.03611069,0.03393427,0.03182009,0.02976637,0.02777137,0.02583342,0.02395088,0.02212218,0.02034577,0.01862016,0.01694389,0.01531556,0.01373378,0.01219724,0.01070464,0.00925472,0.00784626,0.00647808,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"(000, 025]",accs,asset,released_not_activated,1.0,0.09449361,0.06040745,0.05362361,0.050263,0.04695418,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"(000, 025]",accs,liabi,released,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"(000, 025]",crli,asset,released_activated_canceled,0.0,0.0,0.0,0.0,0.0,0.0,0.24400488,0.51046842,0.79709713,1.10055638,1.41813101,1.74887076,2.09058185,2.42279201,2.74659969,3.06260093,3.37198067,3.67524746,3.97285829,4.26529075,4.55267851,4.83515221,5.11283944,5.38586475,5.65434965,5.91841265,6.17816925,6.43373203,6.68521063,6.93271183,7.17633959,7.4161951,7.65229488,7.88465759,8.11330391,8.33825637,8.55953927,8.77717852,8.99120158,9.20163728,9.40851578,9.61186846,9.81172779,10.00812728,10.20110137,10.39068538,10.57691538,10.75982818,10.93946121,11.11585247,11.28904048,11.4590642,11.62596298,11.78977651,11.95054477,12.10830797,12.26310651,12.41498094,12.56397191,12.71012015,12.8534664,12.9940514,13.13191586,13.26710042,13.3996456,13.52959182,13.65697933,13.78184821,13.90423833,14.02418936,14.14174071,14.25693153,14.36980071,14.48038682,14.58872815,14.69486266,14.79882796,14.90066132,15.00039966,15.09807953,15.19373709,15.28740814,15.37912805,15.46893184,15.55685407,15.64292893,15.72719018,15.80967115,15.89040476,15.96942349,16.04675941,16.12238464,16.19631998,16.26860322,16.33927126,16.40836019,16.47590531,16.5419411,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634,30.91094634
"(000, 025]",crli,asset,released_activated_charged_off_first_late,0.0,1.60589315,14.42710511,27.41817677,41.14482237,55.74498187,71.19846528,86.86097952,93.20344303,99.69231521,105.47981118,112.46909038,119.0979671,123.71665427,126.73067914,128.44324387,129.5022051,127.32833123,123.48624563,119.32374225,114.37161699,109.9218169,105.62419604,102.03202627,99.17770926,96.41580789,93.74335649,91.15745054,88.65525027,86.23398376,83.89094923,81.77770974,79.8809634,78.18800027,76.68668238,75.36542385,74.21317119,73.06519066,71.92218013,70.78479406,69.65364543,68.52930755,67.41231585,66.30316955,65.20233334,64.11023889,63.02728643,61.9538461,60.89025944,59.83684065,58.79387791,57.76163462,56.74035055,55.73024299,54.73150786,53.74432071,52.76883777,51.8051969,50.85351848,49.91390633,48.98644857,48.0712184,47.16827488,46.27766371,45.39941794,44.53355862,43.68009551,42.83902766,42.01034406,41.19402418,40.39003855,39.59834925,38.81891047,38.05166895,37.29656448,36.55353028,35.82249351,35.10337559,34.39609264,33.70055584,33.01667175,32.34434269,31.68346702,31.03393948,30.39565145,29.76849126,29.15234442,28.5470939,27.95262035,27.36880234,26.79551657,26.23263807,25.68004043,25.13759593,24.60364302,24.07629602,23.55534529,23.04100453,22.53346665,18.56498124,14.68265137,10.88663834,7.17544865,3.54718689,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"(000, 025]",crli,asset,released_activated_charged_off_recognized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60589315,14.42710511,27.41817677,41.14482237,55.74498187,71.19846528,88.46687267,107.63054813,127.11049198,146.62463355,168.21407225,190.29643237,212.18352693,234.36122728,255.55373585,276.12683865,295.54240348,313.78267801,331.50726918,348.73284427,365.47555275,381.7510347,397.57442975,412.96038726,427.92307707,442.47620076,456.63300329,470.40628496,483.80841351,496.8513365,509.70078681,522.35716416,534.82100356,547.09296734,559.17383737,571.06450768,582.76597747,594.27934429,605.60579763,616.74661278,627.70314492,638.47682353,649.06914702,659.48167762,669.71603652,679.77389921,689.65699102,699.36708297,708.90598766,718.27555553,727.47767114,736.51424975,745.38723401,754.09859082,762.65030837,771.04439331,779.28286804,787.36776823,795.30114035,803.0850394,810.72152677,818.21266818,825.56053175,832.76718617,839.83469897,846.7651349,853.56055443,860.22301225,866.75455594,873.15722472,879.43304822,885.58404537,891.61222338,897.51957672,903.30808622,908.97971822,914.5364238,919.98013801,925.31277922,930.53624847,935.6524289,940.66318524,945.57036328,950.37578946,955.08127048,959.68859289,964.19952281,968.61580559,972.93916562,977.17130603,981.31390855,985.36863332,989.33711873,993.21944861,997.01546164,1000.72665133,1004.35491309,1007.90209997,1007.90209997,1007.90209997,1007.90209997,1007.90209997,1007.90209997,1007.90209997,1007.90209997,1007.90209997
"(000, 025]",crli,asset,released_activated_open,0.0,274.35380091,285.30912345,309.96425573,339.7687059,412.56790165,440.83764347,480.91679852,514.81439268,543.09218486,568.67587622,589.7982503,608.63482196,591.53243368,575.58538211,561.9536529,549.30936134,537.55245311,526.7247267,516.15030743,505.82386539,495.74000554,485.89329369,476.2782794,466.88951566,457.72157619,448.76907026,440.02665554,431.48904918,423.15103712,415.00748204,406.89159784,398.8078173,390.76029717,382.7529301,374.78935655,366.87297589,359.00695731,351.19425014,343.43759387,335.7395277,328.10239982,320.52837615,313.01944899,305.57744504,298.20403331,290.90073263,283.66891892,276.50983204,269.42458251,262.41415783,255.4794287,248.6211548,241.8399905,235.1364902,228.51111355,221.96423042,215.49612562,209.10700352,202.79699236,196.56614846,190.41446024,184.34185205,178.34818783,172.43327466,166.59686608,160.83866531,155.15832842,149.55546713,144.02965173,138.58041372,133.20724841,127.90961732,122.68695061,117.53864925,112.46408715,107.46261324,102.53355337,97.67621221,92.88987495,88.17380904,83.52726576,78.94948175,74.43968045,69.99707348,65.620862,61.31023786,57.06438487,52.88247989,48.76369386,44.70719288,40.68012435,36.7134365,32.81571261,28.98528508,25.22052274,21.51983008,17.88164639,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
