,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
"(000, 025]",accs,asset,released_activated_canceled,0,0,0,0,0,0,0.0003284,0.00061511,0.00086347,0.00108393,0.00128172,0.0014507,0.0015945,0.00171896,0.00183508,0.00193664,0.00202573,0.00210409,0.0021732,0.00223431,0.0022885,0.00233667,0.00237959,0.00241793,0.00245226,0.00255385,0.00264495,0.00272677,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035,0.00280035
"(000, 025]",accs,asset,released_activated_charged_off_first_late,0,0,0.08501004,0.17455105,0.25630098,0.34320506,0.42624049,0.50266909,0.47320293,0.42879465,0.40444959,0.36774578,0.32325092,0.26337021,0.23682413,0.21654679,0.18050746,0.14872411,0.12610209,0.12334993,0.10633928,0.0919261,0.07967957,0.06924548,0.06038729,0.05284392,0.04639352,0.04086054,0.03609981,0.02827922,0.02121887,0.0149665,0.00942974,0.00452052,0.00016226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",accs,asset,released_activated_charged_off_recognized,0,0,0,0,0,0,0,0,0.08501004,0.17455105,0.25630098,0.34320506,0.42624049,0.50266909,0.55821298,0.6033457,0.66075056,0.71095084,0.7494914,0.7660393,0.79503711,0.81989249,0.84125802,0.85967495,0.87559349,0.88938923,0.90137639,0.91181859,0.92093759,0.92892044,0.93598078,0.94223315,0.94776991,0.95267913,0.9570374,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965,0.95719965
"(000, 025]",accs,asset,released_activated_open,0,0.90550639,0.8545825,0.77182534,0.69343602,0.60984076,0.53343112,0.4567158,0.40092355,0.35557037,0.29796772,0.24759846,0.2089141,0.19224175,0.16312781,0.13817087,0.11671625,0.09822096,0.08223331,0.06837646,0.05633511,0.04584474,0.03668282,0.02866163,0.02156696,0.015213,0.00958514,0.0045941,0.00016226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",accs,asset,released_not_activated,1,0.09449361,0.06040745,0.05362361,0.050263,0.04695418,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"(000, 025]",accs,liabi,released,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"(000, 025]",crli,asset,released_activated_canceled,0,0,0,0,0,0,0.19300715,0.38640443,0.5754865,0.76230781,0.94680743,1.11887482,1.27758125,1.41738941,1.55011818,1.66820658,1.77353928,1.86773015,1.95216479,2.02803574,2.09637198,2.15806344,2.21388166,2.26449706,2.31049354,2.44859693,2.57424017,2.68868656,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115,2.79306115
"(000, 025]",crli,asset,released_activated_charged_off_first_late,0,0,25.90862231,53.86995201,81.71786077,113.1352733,145.3379779,181.2887636,184.6322465,181.8182548,190.2000151,194.8227779,193.620909,172.3997123,171.4360718,172.6592264,160.2202031,145.0497885,132.4008215,133.8472778,119.8501147,106.1344764,93.5745468,82.69332904,73.31465562,65.20796504,58.17139317,52.0456214,46.69699627,36.9306353,27.95744008,19.88808537,12.63335562,6.10427315,0.22218208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(000, 025]",crli,asset,released_activated_charged_off_recognized,0,0,0,0,0,0,0,0,25.90862231,53.86995201,81.71786077,113.1352733,145.3379779,181.2887636,210.5408688,235.6882068,271.9178758,307.9580512,338.9588869,353.6884759,381.9769406,408.3474332,432.1380789,453.0078398,471.3597084,487.5357537,501.8270553,514.4819096,525.7126257,535.7011688,544.674364,552.7437187,559.9984485,566.527531,572.409622,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041,572.6318041
"(000, 025]",crli,asset,released_activated_open,0,275.9723636,273.2756065,279.0289612,287.1653241,321.1717074,313.5103875,308.0669676,305.2347376,301.3135568,277.9527185,252.1165138,230.5715373,215.9537347,186.4587686,160.6513326,138.0027663,118.0671231,100.4672505,84.88336458,71.04364456,58.71647365,47.70401785,37.83690063,28.89544511,20.681762,13.21941765,6.426393,0.2301643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
